Proceso,Tiempo de Llegada en segundos,Tiempo Finalizado en segundos,Tiempo Ejecutado en segundos
No.2,3.9131484423480427,5.0,1.0868515576519573
No.1,0.0,6.0,6.0
No.3,4.6650863747474975,19.0,14.334913625252502
No.6,10.323563635432953,20.0,9.676436364567047
No.4,9.217244150272062,21.0,11.782755849727938
No.7,15.849057583468781,22.0,6.150942416531219
No.5,9.599411171479511,23.0,13.400588828520489
No.8,24.455322652501422,29.455322652501422,5.0
No.10,65.27860168560481,66.8592000919497,1.5805984063448903
No.9,61.859200091949695,67.8592000919497,6.000000000000007
No.11,73.7395735921587,74.7395735921587,1.0
No.12,74.82718887815695,75.82718887815695,1.0
No.13,79.48567230595648,80.48567230595648,1.0
No.14,87.79525332217982,89.79525332217982,2.0
No.15,94.65527092433625,95.65527092433625,1.0
No.16,100.92141240665877,101.92141240665877,1.0
No.17,104.48483378367439,110.48483378367439,6.0
No.18,105.33883338890725,111.48483378367439,6.146000394767142
No.19,112.1731063010801,113.1731063010801,1.0
No.20,113.42948434384837,115.42948434384837,2.0
No.22,127.98218956700238,129.5822239532521,1.6000343862497317
No.21,127.58222395325211,130.5822239532521,3.0
No.23,136.4925097436324,141.4925097436324,5.0
No.24,145.5156453633354,150.5156453633354,5.0
No.25,163.83944648557812,165.83944648557812,2.0
