Proceso,Tiempo de Llegada en segundos,Tiempo Finalizado en segundos,Tiempo Ejecutado en segundos
No.2,3.9131484423480427,5.0,1.0868515576519573
No.1,0.0,6.0,6.0
No.3,4.6650863747474975,19.0,14.334913625252502
No.6,10.323563635432953,20.0,9.676436364567047
No.4,9.217244150272062,21.0,11.782755849727938
No.7,15.849057583468781,22.0,6.150942416531219
No.5,9.599411171479511,23.0,13.400588828520489
No.8,24.455322652501422,29.455322652501422,5.0
No.10,65.27860168560481,66.8592000919497,1.5805984063448903
No.9,61.859200091949695,67.8592000919497,6.000000000000007
No.11,73.7395735921587,74.7395735921587,1.0
No.12,74.82718887815695,75.82718887815695,1.0
No.13,79.48567230595648,80.48567230595648,1.0
No.14,87.79525332217982,89.79525332217982,2.0
No.15,94.65527092433625,95.65527092433625,1.0
No.16,100.92141240665877,101.92141240665877,1.0
No.17,104.48483378367439,110.48483378367439,6.0
No.18,105.33883338890725,111.48483378367439,6.146000394767142
No.19,112.1731063010801,113.1731063010801,1.0
No.20,113.42948434384837,115.42948434384837,2.0
No.22,127.98218956700238,129.5822239532521,1.6000343862497317
No.21,127.58222395325211,130.5822239532521,3.0
No.23,136.4925097436324,141.4925097436324,5.0
No.24,145.5156453633354,150.5156453633354,5.0
No.26,164.46532462998488,165.83944648557812,1.3741218555932448
No.25,163.83944648557812,166.83944648557812,3.0
No.27,214.2217802036918,215.2217802036918,1.0
No.28,236.0290211270332,237.0290211270332,1.0
No.29,264.2718112005525,265.2718112005525,1.0
No.30,273.71150247712785,274.71150247712785,1.0
No.31,276.1731651815359,278.1731651815359,2.0
No.32,289.58115201091414,292.58115201091414,3.0
No.33,290.4212885886184,293.58115201091414,3.159863422295757
No.34,298.3939268266318,299.3939268266318,1.0
No.35,341.42022800025603,342.42022800025603,1.0
No.36,343.0562573542331,344.0562573542331,1.0
No.37,345.6953511983946,346.6953511983946,1.0
No.38,352.33051132507103,353.33051132507103,1.0
No.39,355.3787477824796,357.3787477824796,2.0
No.40,360.8078722393805,365.8078722393805,5.0
No.41,391.40480596571854,393.40480596571854,2.0
No.42,397.5047064223845,399.5047064223845,2.0
No.43,402.5959576654068,403.5959576654068,1.0
No.44,403.2386533357625,404.5959576654068,1.3573043296443075
No.45,409.0480386355674,410.0480386355674,1.0
No.46,418.22914401535246,419.22914401535246,1.0
No.47,426.59432327078457,427.59432327078457,1.0
No.49,457.07267823428214,458.343577438109,1.2708992038268434
No.48,456.343577438109,459.343577438109,3.0
No.50,461.7924036860773,463.7924036860773,2.0
No.51,468.2198242923065,469.2198242923065,1.0
No.52,474.7666900201278,475.7666900201278,1.0
No.53,476.3229116920163,481.3229116920163,5.0
No.54,482.83571033319885,483.83571033319885,1.0
No.55,485.1325468290671,486.1325468290671,1.0
No.56,486.7178456617932,487.7178456617932,1.0
No.57,500.9119303544554,502.9119303544554,2.0
No.58,512.8256814468998,513.8256814468998,1.0
No.59,536.713490600165,537.713490600165,1.0
No.60,544.3190265149958,545.3190265149958,1.0
No.61,554.4371888104149,555.4371888104149,1.0
No.62,570.8402115924061,571.8402115924061,1.0
No.63,573.0706219505365,574.0706219505365,1.0
No.64,586.2012093646016,588.2012093646016,2.0
No.65,592.5923469895056,593.5923469895056,1.0
No.66,598.5204377505166,599.5204377505166,1.0
No.67,599.3601047413194,600.5204377505166,1.1603330091971884
No.68,605.710396678733,606.710396678733,1.0
No.69,612.3008170160938,613.3008170160938,1.0
No.70,618.8299603958715,623.8299603958715,5.0
No.71,636.8267966899643,638.8267966899643,2.0
No.73,644.235755486278,648.3283009117076,4.092545425429648
No.72,643.3283009117076,649.3283009117076,6.0
No.74,649.3671521082957,650.3671521082957,1.0
No.75,699.1474146867765,700.1474146867765,1.0
No.76,708.0832277859182,710.0832277859182,2.0
No.77,717.5397367576836,718.5397367576836,1.0
No.78,719.2347270455579,728.2347270455579,9.0
No.79,719.4510160628474,729.2347270455579,9.783710982710431
No.80,733.2938290896071,734.2938290896071,1.0
No.81,733.577759283864,735.2938290896071,1.7160698057431318
No.82,740.5324965292465,741.5324965292465,1.0
No.83,743.534967291401,752.534967291401,9.0
No.84,744.1633485628726,753.534967291401,9.37161872852846
No.85,755.0245005092142,760.0245005092142,5.0
No.86,762.4375142765438,763.4375142765438,1.0
No.87,771.8166076404003,772.8166076404003,1.0
No.88,773.342980558518,775.342980558518,2.0
No.89,781.4730057383294,786.4730057383294,5.0
No.90,796.8103970146672,797.8103970146672,1.0
No.91,799.6671621445548,804.6671621445548,5.0
No.92,814.4627169067156,816.4627169067156,2.0
No.93,828.733594741783,833.733594741783,5.0
No.94,838.2147086655486,840.2147086655486,2.0
No.95,850.0150256840254,852.0150256840254,2.0
No.96,857.1027490699532,862.1027490699532,5.0
No.97,882.7142626047497,884.7142626047497,2.0
No.99,888.8568419104881,893.1037200217935,4.246878111305364
No.100,889.6161619016083,894.1037200217935,4.487558120185213
No.98,888.1037200217935,895.1037200217935,7.0
No.101,917.6680510791249,923.6680510791249,6.0
No.102,920.5863957290529,924.6680510791249,4.081655350071969
No.103,934.3174959936673,935.3174959936673,1.0
No.104,936.0943611983637,938.0943611983637,2.0
No.105,948.3471275574813,949.3471275574813,1.0
No.106,953.8164317373214,954.8164317373214,1.0
No.107,954.7836778211055,959.8164317373214,5.032753916215938
No.108,958.9082681970182,961.8164317373214,2.908163540303235
No.109,963.7589463889577,964.7589463889577,1.0
No.110,970.9387212467536,971.9387212467536,1.0
No.111,1012.991422677857,1013.991422677857,1.0
No.112,1013.8694806966946,1014.991422677857,1.121941981162422
No.113,1037.5033136567592,1038.5033136567592,1.0
No.114,1051.6000305098648,1053.6000305098648,2.0
No.115,1056.8079118267106,1057.8079118267106,1.0
No.117,1069.454039344713,1073.8615644450485,4.407525100335533
No.116,1068.8615644450485,1074.8615644450485,6.0
No.118,1092.0191886431878,1097.0191886431878,5.0
No.119,1108.1953306957798,1121.1953306957798,13.0
No.120,1108.8847865811972,1122.1953306957798,13.310544114582626
No.121,1109.000921657876,1123.1953306957798,14.194409037903824
No.122,1135.1286787960282,1136.1286787960282,1.0
No.123,1162.955217522033,1163.955217522033,1.0
No.124,1163.4721482881896,1164.955217522033,1.48306923384348
No.125,1173.3788190706123,1174.3788190706123,1.0
No.126,1176.8031705516933,1177.8031705516933,1.0
No.127,1179.957436261093,1185.957436261093,6.0
No.128,1180.3339290022598,1186.957436261093,6.623507258833342
No.129,1188.342347139584,1190.342347139584,2.0
No.130,1215.6212299165513,1217.6212299165513,2.0
No.131,1223.5157460035953,1224.5157460035953,1.0
No.132,1235.1549926372286,1237.1549926372286,2.0
No.133,1237.3692489524594,1238.3692489524594,1.0
No.134,1277.4777049239656,1283.4777049239656,6.0
No.135,1278.2111870848235,1288.4777049239656,10.266517839142125
No.136,1279.9934448876368,1289.4777049239656,9.484260036328806
No.137,1291.7922816946273,1292.7922816946273,1.0
No.138,1293.506488847028,1295.506488847028,2.0
No.139,1296.5614613186017,1297.5614613186017,1.0
No.140,1299.3645080958815,1300.3645080958815,1.0
No.141,1303.77414477208,1304.77414477208,1.0
No.142,1308.5807728476584,1309.5807728476584,1.0
No.143,1315.5676781408563,1316.5676781408563,1.0
No.144,1322.5943141147197,1323.5943141147197,1.0
No.145,1325.6618579065919,1330.6618579065919,5.0
No.146,1330.7619702994114,1331.7619702994114,1.0
No.147,1334.3236647231777,1335.3236647231777,1.0
No.148,1343.1324972376863,1345.1324972376863,2.0
No.149,1353.8486086650066,1354.8486086650066,1.0
No.150,1366.6024829872679,1367.6024829872679,1.0
