Proceso,Tiempo de Llegada en segundos,Tiempo Finalizado en segundos,Tiempo Ejecutado en segundos
No.2,1.9565742211740214,5.0,3.043425778825979
No.5,5.81705783554846,15.0,9.18294216445154
No.1,0.0,21.0,21.0
No.3,2.3325431873737488,26.0,23.667456812626252
No.6,8.524961174244769,28.0,19.47503882575523
No.4,4.608622075136031,29.0,24.391377924863967
No.7,17.293007568799347,31.0,13.706992431200653
No.9,36.77386099765371,40.99494628852348,4.221085290869766
No.10,38.61819021506495,41.99494628852348,3.3767560734585302
No.11,40.94743192896472,45.99494628852348,5.047514359558761
No.8,35.99494628852348,46.99494628852348,11.0
No.12,45.102222437076385,48.99494628852348,3.8927238514470943
No.13,48.23529317823765,54.99494628852348,6.759653110285832
No.15,50.09022489628885,60.99494628852348,10.904721392234627
No.14,49.66322509367242,61.99494628852348,12.331721194851056
No.16,60.49293545465037,62.99494628852348,2.5020108338731077
No.17,61.39432630616611,63.99494628852348,2.6006199823573724
No.18,74.92984546496879,77.92984546496879,3.0
No.19,91.283202667236,97.283202667236,6.0
No.20,97.22526459524863,106.283202667236,9.057938071987365
No.21,106.38716515636999,110.38716515636999,4.0
No.22,112.95534714115709,113.95534714115709,1.0
No.23,123.85896760282779,124.85896760282779,1.0
No.24,137.98036263958747,138.98036263958747,1.0
No.25,142.70020827787513,143.70020827787513,1.0
