Proceso,Tiempo de Llegada en segundos,Tiempo Finalizado en segundos,Tiempo Ejecutado en segundos
No.2,3.9131484423480427,5.0,1.0868515576519573
No.1,0.0,6.0,6.0
No.3,4.6650863747474975,19.0,14.334913625252502
No.6,10.323563635432953,20.0,9.676436364567047
No.4,9.217244150272062,21.0,11.782755849727938
No.7,15.849057583468781,22.0,6.150942416531219
No.5,9.599411171479511,23.0,13.400588828520489
No.8,24.455322652501422,29.455322652501422,5.0
No.10,65.27860168560481,66.8592000919497,1.5805984063448903
No.9,61.859200091949695,67.8592000919497,6.000000000000007
No.11,73.7395735921587,74.7395735921587,1.0
No.12,74.82718887815695,75.82718887815695,1.0
No.13,79.48567230595648,80.48567230595648,1.0
No.14,87.79525332217982,89.79525332217982,2.0
No.15,94.65527092433625,95.65527092433625,1.0
No.16,100.92141240665877,101.92141240665877,1.0
No.17,104.48483378367439,110.48483378367439,6.0
No.18,105.33883338890725,111.48483378367439,6.146000394767142
No.19,112.1731063010801,113.1731063010801,1.0
No.20,113.42948434384837,115.42948434384837,2.0
No.22,127.98218956700238,129.5822239532521,1.6000343862497317
No.21,127.58222395325211,130.5822239532521,3.0
No.23,136.4925097436324,141.4925097436324,5.0
No.24,145.5156453633354,150.5156453633354,5.0
No.26,164.46532462998488,165.83944648557812,1.3741218555932448
No.25,163.83944648557812,166.83944648557812,3.0
No.27,214.2217802036918,215.2217802036918,1.0
No.28,236.0290211270332,237.0290211270332,1.0
No.29,264.2718112005525,265.2718112005525,1.0
No.30,273.71150247712785,274.71150247712785,1.0
No.31,276.1731651815359,278.1731651815359,2.0
No.32,289.58115201091414,292.58115201091414,3.0
No.33,290.4212885886184,293.58115201091414,3.159863422295757
No.34,298.3939268266318,299.3939268266318,1.0
No.35,341.42022800025603,342.42022800025603,1.0
No.36,343.0562573542331,344.0562573542331,1.0
No.37,345.6953511983946,346.6953511983946,1.0
No.38,352.33051132507103,353.33051132507103,1.0
No.39,355.3787477824796,357.3787477824796,2.0
No.40,360.8078722393805,365.8078722393805,5.0
No.41,391.40480596571854,393.40480596571854,2.0
No.42,397.5047064223845,399.5047064223845,2.0
No.43,402.5959576654068,403.5959576654068,1.0
No.44,403.2386533357625,404.5959576654068,1.3573043296443075
No.45,409.0480386355674,410.0480386355674,1.0
No.46,418.22914401535246,419.22914401535246,1.0
No.47,426.59432327078457,427.59432327078457,1.0
No.49,457.07267823428214,458.343577438109,1.2708992038268434
No.48,456.343577438109,459.343577438109,3.0
No.50,461.7924036860773,463.7924036860773,2.0
