Proceso,Tiempo de Llegada en segundos,Tiempo Finalizado en segundos,Tiempo Ejecutado en segundos
No.2,3.9131484423480427,5.0,1.0868515576519573
No.1,0.0,11.0,11.0
No.6,10.323563635432953,21.0,10.676436364567047
No.7,10.932859445639878,22.0,11.067140554360122
No.3,4.6650863747474975,31.0,26.334913625252504
No.4,9.217244150272062,32.0,22.782755849727938
No.5,9.599411171479511,33.0,23.40058882852049
No.9,43.81210590219309,45.39270430853797,1.5805984063448832
No.8,40.39270430853797,50.39270430853797,10.0
No.10,52.273077808746976,57.273077808746976,5.0
No.11,60.9862553826888,72.9862553826888,11.999999999999993
No.12,68.92133455813467,73.9862553826888,5.064920824554122
No.13,75.7813521602911,76.7813521602911,1.0
No.14,80.26897811326126,81.26897811326126,1.0
No.15,92.27524333137586,95.27524333137586,3.0
No.16,100.81835385838404,101.81835385838404,1.0
No.17,104.214253483664,109.214253483664,5.0
No.18,111.38727588851518,112.38727588851518,1.0
No.19,138.45831420612055,141.45831420612055,3.0
No.20,171.16502861065496,177.16502861065496,6.0
No.21,183.04915246668023,192.04915246668023,9.0
No.22,201.37295358892294,205.37295358892294,4.0
No.23,214.50931755849714,215.50931755849714,1.0
No.24,236.31655848183854,237.31655848183854,1.0
No.25,264.5593485553579,265.5593485553579,1.0
