Proceso,Tiempo de Llegada en segundos,Tiempo Finalizado en segundos,Tiempo Ejecutado en segundos
No.131,1267.16852210577,1268.16852210577,1.0
No.132,1270.230960174863,1279.230960174863,9.0
No.133,1284.024758202538,1289.024758202538,5.0
No.134,1297.7182618363881,1302.7182618363881,5.0
No.135,1316.4349695751837,1322.4349695751837,6.0
No.136,1329.899115589375,1330.899115589375,1.0
No.137,1336.4193630512937,1337.4193630512937,1.0
No.138,1346.0158875331113,1348.0158875331113,2.0
No.139,1355.1714293780608,1356.1714293780608,1.0
No.140,1364.8775985118098,1369.8775985118098,5.0
No.141,1371.4635237668679,1373.4635237668679,2.0
No.142,1383.2460926313865,1384.2460926313865,1.0
No.143,1389.4946781309645,1391.4946781309645,2.0
No.144,1439.5517636344782,1440.5517636344782,1.0
No.145,1477.776208910747,1480.776208910747,3.0
No.146,1481.195323246278,1482.195323246278,1.0
No.147,1486.0867530342953,1489.0867530342953,3.0
No.149,1496.219485636846,1499.219485636846,3.0
No.148,1494.7968766771098,1499.7968766771098,5.0
No.151,1508.622551384258,1510.622551384258,2.0
No.150,1508.3710715900377,1514.3710715900377,6.0
No.152,1520.0666464210647,1525.0666464210647,5.0
No.154,1528.7081224301285,1529.7081224301285,1.0
No.153,1524.7843967192052,1530.7843967192052,6.0
No.155,1556.8224202639215,1562.8224202639215,6.0
No.156,1559.7421625202142,1564.7421625202142,5.0
No.157,1564.2161228791942,1569.2161228791942,5.0
No.159,1570.377845476123,1571.377845476123,1.0
No.158,1567.5100244818086,1573.5100244818086,6.0
No.160,1585.213991195516,1594.213991195516,9.0
No.162,1602.4325365463997,1607.4325365463997,5.0
No.161,1601.9251175089962,1607.9251175089962,6.0
No.163,1611.9754243643797,1613.9754243643797,2.0
No.164,1613.847914772036,1623.3828842709736,9.534969498937699
No.166,1620.961587867449,1624.3828842709736,3.421296403524593
No.165,1617.3828842709736,1626.847914772036,9.465030501062301
No.167,1631.2675277094193,1637.2675277094193,6.0
No.168,1637.300337922059,1638.300337922059,1.0
No.169,1645.2363200074863,1646.2363200074863,1.0
No.170,1647.1563437623013,1652.1563437623013,5.0
No.171,1651.0024996621735,1657.0024996621735,6.0
No.172,1672.8284520891127,1673.8284520891127,1.0
No.173,1677.5583860491395,1682.5583860491395,5.0
No.174,1684.4528443450024,1689.4528443450024,5.0
No.175,1696.060482710851,1699.060482710851,3.0
No.176,1699.2215846190181,1700.2215846190181,1.0
No.177,1704.875048400483,1711.23607559522,6.361027194737062
No.179,1706.2378626330794,1714.875048400483,8.63718576740348
No.178,1706.23607559522,1716.23607559522,10.0
No.180,1725.5800375539031,1735.5800375539031,10.0
No.182,1732.9828043683874,1736.5800375539031,3.5972331855157336
No.181,1732.9691346297684,1737.9691346297684,5.0
No.183,1741.4081499603126,1742.4081499603126,1.0
No.184,1748.9212775280298,1758.9212775280298,10.0
No.185,1749.9687155283366,1759.9212775280298,9.952561999693216
No.186,1754.880284592864,1759.9687155283366,5.088430935472616
No.187,1762.590859790397,1767.590859790397,5.0
No.188,1770.062199894067,1771.062199894067,1.0
No.189,1802.4057068043437,1805.6259891434736,3.2202823391298807
No.191,1803.4716825986584,1806.6259891434736,3.1543065448151992
No.190,1802.6259891434736,1811.4057068043437,8.77971766087012
No.194,1806.8095785137236,1812.4057068043437,5.596128290620072
No.192,1806.043677798352,1812.6259891434736,6.582311345121525
No.193,1806.1114415319128,1813.6259891434736,7.514547611560829
No.195,1810.545112130573,1818.6259891434736,8.0808770129006
No.196,1811.6993111735708,1819.4057068043437,7.706395630772931
No.198,1821.676833875551,1822.676833875551,1.0
No.199,1823.2073093327494,1824.2073093327494,1.0
No.197,1821.1179176902,1831.1179176902,10.0
No.200,1828.204875391048,1833.204875391048,5.0
